
Fecha: 15-06-2018 16:16:18 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas/create
Fecha: 15-06-2018 16:16:31 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:16:33 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:16:55 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas/create
Fecha: 15-06-2018 16:17:07 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:17:10 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:17:16 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 16:17:38 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 16:17:39 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 16:17:43 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/5
Fecha: 15-06-2018 16:18:10 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/cargar
Fecha: 15-06-2018 16:18:11 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/5
Fecha: 15-06-2018 17:03:20 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://58c38d6e.ngrok.io/tareas
Fecha: 15-06-2018 17:11:34 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://58c38d6e.ngrok.io/tareas
Fecha: 15-06-2018 17:13:09 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://58c38d6e.ngrok.io/tareas/create
Fecha: 15-06-2018 17:13:22 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 17:13:25 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas/create
Fecha: 15-06-2018 17:13:40 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 17:13:42 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 17:16:47 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas/create
Fecha: 15-06-2018 17:17:04 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 17:17:06 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
